date,Sean Spicer,Dancing with the Stars,normalized_score
2019-09-16,1,25,4.0
2019-09-17,30,100,30.0
2019-09-18,11,23,47.82608695652174
2019-09-19,4,11,36.36363636363637
2019-09-20,3,8,37.5
2019-09-21,2,8,25.0
2019-09-22,2,8,25.0
2019-09-23,2,11,18.181818181818183
2019-09-24,8,64,12.5
2019-09-25,2,14,14.285714285714285
2019-09-26,1,8,12.5
2019-09-27,1,6,16.666666666666664
2019-09-28,1,6,16.666666666666664
2019-09-29,1,6,16.666666666666664
2019-09-30,1,10,10.0
2019-10-01,10,59,16.94915254237288
2019-10-02,2,11,18.181818181818183
2019-10-03,1,7,14.285714285714285
2019-10-04,2,5,40.0
2019-10-05,1,5,20.0
2019-10-06,1,5,20.0
2019-10-07,1,6,16.666666666666664
2019-10-08,7,45,15.555555555555555
2019-10-09,1,10,10.0
2019-10-10,1,6,16.666666666666664
2019-10-11,1,5,20.0
2019-10-12,1,5,20.0
2019-10-13,1,5,20.0
2019-10-14,1,8,12.5
2019-10-15,10,50,20.0
2019-10-16,2,10,20.0
2019-10-17,1,6,16.666666666666664
2019-10-18,1,4,25.0
2019-10-19,1,5,20.0
2019-10-20,1,5,20.0
2019-10-21,1,6,16.666666666666664
2019-10-22,12,53,22.641509433962266
2019-10-23,2,13,15.384615384615385
2019-10-24,1,7,14.285714285714285
2019-10-25,1,6,16.666666666666664
2019-10-26,1,6,16.666666666666664
2019-10-27,1,6,16.666666666666664
2019-10-28,1,8,12.5
2019-10-29,9,47,19.148936170212767
2019-10-30,3,11,27.27272727272727
2019-10-31,2,7,28.57142857142857
2019-11-01,1,4,25.0
2019-11-02,1,5,20.0
2019-11-03,1,4,25.0
2019-11-04,1,6,16.666666666666664
2019-11-05,19,64,29.6875
2019-11-06,7,14,50.0
2019-11-07,3,7,42.857142857142854
2019-11-08,2,6,33.33333333333333
2019-11-09,2,5,40.0
2019-11-10,1,5,20.0
2019-11-11,1,7,14.285714285714285
2019-11-12,18,60,30.0
2019-11-13,5,10,50.0
2019-11-14,1,6,16.666666666666664
2019-11-15,1,4,25.0
2019-11-16,1,4,25.0
2019-11-17,1,4,25.0
2019-11-18,1,5,20.0
2019-11-19,2,66,3.0303030303030303
2019-11-20,1,12,8.333333333333332
2019-11-21,0,6,0.0
2019-11-22,0,5,0.0
2019-11-23,0,5,0.0
2019-11-24,0,6,0.0
2019-11-25,0,9,0.0
