date,Ally Brooke,Dancing with the Stars,normalized_score
2019-09-16,1,25,4.0
2019-09-17,9,100,9.0
2019-09-18,1,23,4.3478260869565215
2019-09-19,1,11,9.090909090909092
2019-09-20,1,8,12.5
2019-09-21,1,8,12.5
2019-09-22,0,8,0.0
2019-09-23,0,11,0.0
2019-09-24,6,64,9.375
2019-09-25,1,14,7.142857142857142
2019-09-26,1,8,12.5
2019-09-27,0,6,0.0
2019-09-28,0,6,0.0
2019-09-29,1,6,16.666666666666664
2019-09-30,0,10,0.0
2019-10-01,8,59,13.559322033898304
2019-10-02,1,11,9.090909090909092
2019-10-03,1,7,14.285714285714285
2019-10-04,1,5,20.0
2019-10-05,1,5,20.0
2019-10-06,1,5,20.0
2019-10-07,0,6,0.0
2019-10-08,5,45,11.11111111111111
2019-10-09,1,10,10.0
2019-10-10,1,6,16.666666666666664
2019-10-11,0,5,0.0
2019-10-12,0,5,0.0
2019-10-13,1,5,20.0
2019-10-14,0,8,0.0
2019-10-15,10,50,20.0
2019-10-16,1,10,10.0
2019-10-17,1,6,16.666666666666664
2019-10-18,1,4,25.0
2019-10-19,1,5,20.0
2019-10-20,1,5,20.0
2019-10-21,0,6,0.0
2019-10-22,4,53,7.547169811320755
2019-10-23,1,13,7.6923076923076925
2019-10-24,1,7,14.285714285714285
2019-10-25,0,6,0.0
2019-10-26,0,6,0.0
2019-10-27,0,6,0.0
2019-10-28,0,8,0.0
2019-10-29,3,47,6.382978723404255
2019-10-30,0,11,0.0
2019-10-31,0,7,0.0
2019-11-01,0,4,0.0
2019-11-02,1,5,20.0
2019-11-03,0,4,0.0
2019-11-04,0,6,0.0
2019-11-05,7,64,10.9375
2019-11-06,1,14,7.142857142857142
2019-11-07,1,7,14.285714285714285
2019-11-08,1,6,16.666666666666664
2019-11-09,1,5,20.0
2019-11-10,0,5,0.0
2019-11-11,1,7,14.285714285714285
2019-11-12,6,60,10.0
2019-11-13,1,10,10.0
2019-11-14,0,6,0.0
2019-11-15,0,4,0.0
2019-11-16,1,4,25.0
2019-11-17,1,4,25.0
2019-11-18,1,5,20.0
2019-11-19,8,66,12.121212121212121
2019-11-20,2,12,16.666666666666664
2019-11-21,1,6,16.666666666666664
2019-11-22,1,5,20.0
2019-11-23,1,5,20.0
2019-11-24,1,6,16.666666666666664
2019-11-25,1,9,11.11111111111111
