inertia_weight,weeks_attempted,weeks_no_hit,elim_weeks_attempted,elim_weeks_no_hit,hit_rate_overall_%,hit_rate_elim_%,avg_acceptance_rate_rank_strict,avg_acceptance_rate_percentage,avg_acceptance_rate_rank_bottom2,avg_std_rank_strict,avg_std_percentage,avg_std_rank_bottom2,weeks_attempted_rank_strict,weeks_attempted_percentage,weeks_attempted_rank_bottom2,weeks_no_hit_rank_strict,weeks_no_hit_percentage,weeks_no_hit_rank_bottom2,iterations,concentration
0.0,335,0,264,0,100.0,100.0,42.799872,35.199109,53.700313,4.637179,4.019639,3.991567,14,248,73,0,0,0,300000,50.0
0.1,335,0,264,0,100.0,100.0,46.459103,36.198898,55.036567,4.638846,4.028903,3.992493,14,248,73,0,0,0,300000,50.0
0.2,335,0,264,0,100.0,100.0,49.241026,36.985929,56.186524,4.626667,4.033215,3.989444,14,248,73,0,0,0,300000,50.0
0.30000000000000004,335,0,264,0,100.0,100.0,51.494615,37.61335,57.057892,4.585769,4.02318,3.981368,14,248,73,0,0,0,300000,50.0
0.4,335,2,264,2,99.402985,99.242424,53.561795,38.189735,57.703433,4.503974,4.026618,3.970285,14,248,73,0,2,0,300000,50.0
0.5,335,2,264,2,99.402985,99.242424,55.677308,38.704772,58.148405,4.307692,4.008026,3.951581,14,248,73,0,2,0,300000,50.0
0.6000000000000001,335,4,264,4,98.80597,98.484848,57.793205,39.211828,58.487564,4.417703,3.983455,3.927023,14,248,73,1,3,0,300000,50.0
0.7000000000000001,335,4,264,4,98.80597,98.484848,60.001538,39.714256,58.70614,4.271486,3.933971,3.894558,14,248,73,1,3,0,300000,50.0
0.8,335,6,264,6,98.208955,97.727273,62.297436,40.248037,58.891125,4.084054,3.877007,3.850399,14,248,73,1,5,0,300000,50.0
0.9,335,9,264,9,97.313433,96.590909,64.657436,40.863265,59.007593,3.839324,3.823542,3.79161,14,248,73,1,8,0,300000,50.0
1.0,335,15,264,15,95.522388,94.318182,66.637692,41.720531,58.954986,3.342838,3.688987,3.690427,14,248,73,1,14,0,300000,50.0
