season,celebrity_name,popularity_coefficient
1,Evander Holyfield,0.004329004329004329
1,Joey McIntyre,0.027417027417027416
1,John O'Hurley,0.0
1,Kelly Monaco,0.70995670995671
1,Rachel Hunter,0.24963924963924963
1,Trista Sutter,0.007215007215007215
2,Drew Lachey,0.029323308270676692
2,George Hamilton,0.04360902255639098
2,Giselle Fernandez,0.014285714285714285
2,Jerry Rice,0.04586466165413534
2,Kenny Mayne,0.004511278195488722
2,Lisa Rinna,0.09172932330827067
2,Master P,0.03007518796992481
2,Stacy Keibler,0.2646616541353383
2,Tatum O'Neal,0.0
2,Tia Carrere,0.012030075187969926
3,Emmitt Smith,0.026442307692307692
3,Harry Hamlin,0.00641025641025641
3,Jerry Springer,0.0488997555012225
3,Joey Lawrence,0.07772435897435898
3,Mario Lopez,0.13862179487179488
3,Monique Coleman,0.013621794871794872
3,Sara Evans,0.35912129894937916
3,Shanna Moakler,0.06570512820512821
3,Tucker Carlson,0.009787928221859706
3,Vivica A. Fox,0.0008012820512820513
3,Willa Ford,0.08653846153846154
4,Apolo Anton Ohno,0.018922018348623854
4,Billy Ray Cyrus,0.033256880733944956
4,Clyde Drexler,0.007454128440366973
4,Heather Mills,0.08027522935779817
4,Ian Ziering,0.016628440366972478
4,Joey Fatone,0.02121559633027523
4,John Ratzenberger,0.006307339449541285
4,Laila Ali,0.03153669724770642
4,Leeza Gibbons,0.013761467889908258
4,Paulina Porizkova,0.018922018348623854
4,Shandi Finnessey,0.014334862385321102
5,Albert Reed,0.020918070889018012
5,Cameron Mathison,0.010459035444509006
5,Floyd Mayweather Jr. ,0.0
5,Helio Castroneves,0.018593840790238233
5,Jane Seymour,0.06391632771644393
5,Jennie Garth,0.03776873910517141
5,Josie Maran,0.02033701336432307
5,Marie Osmond,0.17315514235909354
5,Mark Cuban,0.061011040092969204
5,Mel B,0.01336432306798373
5,Sabrina Bryan,0.06333527019174898
5,Wayne Newton,0.05287623474723998
6,Adam Carolla,0.038532961931290625
6,Cristian de la Fuente,0.011214953271028037
6,Jason Taylor,0.08037383177570094
6,Kristi Yamaguchi,0.037383177570093455
6,Mario,2.140043763676149
6,Marissa Jaret Winokur,0.016822429906542057
6,Marlee Matlin,0.03644859813084112
6,Monica Seles,0.024299065420560748
6,Penn Jillette,0.0032634032634032634
6,Priscilla Presley,0.11121495327102804
6,Shannon Elizabeth,0.14672897196261683
6,Steve Guttenberg,0.010280373831775701
7,Brooke Burke,0.17320261437908496
7,Cloris Leachman,0.06429780033840947
7,Cody Linley,0.06091370558375635
7,Jeffrey Ross,0.004084967320261438
7,Kim Kardashian,0.7173202614379085
7,Lance Bass,0.031862745098039214
7,Maurice Greene,0.0016339869281045752
7,Misty May-Treanor,0.009306260575296108
7,Rocco DiSpirito,0.00980392156862745
7,Susan Lucci,0.06683587140439932
7,Ted McGinley,0.009306260575296108
7,Toni Braxton,0.05065359477124183
7,Warren Sapp,0.04003267973856209
8,Belinda Carlisle,0.01828029790115098
8,Chuck Wicks,0.03588354773188896
8,David Alan Grier,0.002031144211238998
8,Denise Richards,0.06702775897088693
8,Gilles Marini,0.04197698036560596
8,Holly Madison,0.11171293161814488
8,Lawrence Taylor,0.006770480704129994
