date,Alek Skarlatos,Dancing with the Stars,normalized_score
2015-09-14,0,26,0.0
2015-09-15,5,100,5.0
2015-09-16,2,41,4.878048780487805
2015-09-17,1,13,7.6923076923076925
2015-09-18,1,9,11.11111111111111
2015-09-19,0,9,0.0
2015-09-20,0,8,0.0
2015-09-21,0,10,0.0
2015-09-22,3,64,4.6875
2015-09-23,2,69,2.898550724637681
2015-09-24,0,16,0.0
2015-09-25,0,11,0.0
2015-09-26,0,10,0.0
2015-09-27,0,8,0.0
2015-09-28,0,10,0.0
2015-09-29,2,47,4.25531914893617
2015-09-30,0,14,0.0
2015-10-01,1,7,14.285714285714285
2015-10-02,2,6,33.33333333333333
2015-10-03,1,6,16.666666666666664
2015-10-04,0,6,0.0
2015-10-05,0,8,0.0
2015-10-06,2,59,3.389830508474576
2015-10-07,1,17,5.88235294117647
2015-10-08,2,13,15.384615384615385
2015-10-09,1,8,12.5
2015-10-10,0,7,0.0
2015-10-11,0,6,0.0
2015-10-12,0,8,0.0
2015-10-13,5,44,11.363636363636363
2015-10-14,1,13,7.6923076923076925
2015-10-15,0,7,0.0
2015-10-16,0,6,0.0
2015-10-17,0,6,0.0
2015-10-18,0,5,0.0
2015-10-19,0,7,0.0
2015-10-20,2,50,4.0
2015-10-21,0,14,0.0
2015-10-22,0,8,0.0
2015-10-23,0,5,0.0
2015-10-24,0,6,0.0
2015-10-25,0,5,0.0
2015-10-26,0,7,0.0
2015-10-27,1,40,2.5
2015-10-28,0,12,0.0
2015-10-29,0,6,0.0
2015-10-30,0,5,0.0
2015-10-31,0,5,0.0
2015-11-01,0,4,0.0
2015-11-02,0,6,0.0
2015-11-03,3,40,7.5
2015-11-04,0,10,0.0
2015-11-05,0,7,0.0
2015-11-06,0,6,0.0
2015-11-07,0,5,0.0
2015-11-08,0,5,0.0
2015-11-09,0,5,0.0
2015-11-10,2,51,3.9215686274509802
2015-11-11,0,19,0.0
2015-11-12,0,10,0.0
2015-11-13,0,6,0.0
2015-11-14,0,5,0.0
2015-11-15,0,5,0.0
2015-11-16,0,7,0.0
2015-11-17,4,44,9.090909090909092
2015-11-18,1,11,9.090909090909092
2015-11-19,0,6,0.0
2015-11-20,0,4,0.0
2015-11-21,0,6,0.0
2015-11-22,0,5,0.0
2015-11-23,0,9,0.0
2015-11-24,4,75,5.333333333333334
