date,Veron Davis,Dancing with the Stars,normalized_score
2020-09-14,0,22,0.0
2020-09-15,0,100,0.0
2020-09-16,0,27,0.0
2020-09-17,0,13,0.0
2020-09-18,0,9,0.0
2020-09-19,0,8,0.0
2020-09-20,0,7,0.0
2020-09-21,0,11,0.0
2020-09-22,0,19,0.0
2020-09-23,0,53,0.0
2020-09-24,0,13,0.0
2020-09-25,0,8,0.0
2020-09-26,0,7,0.0
2020-09-27,0,7,0.0
2020-09-28,0,10,0.0
2020-09-29,0,47,0.0
2020-09-30,0,9,0.0
2020-10-01,0,10,0.0
2020-10-02,0,5,0.0
2020-10-03,0,5,0.0
2020-10-04,0,5,0.0
2020-10-05,0,6,0.0
2020-10-06,0,62,0.0
2020-10-07,0,16,0.0
2020-10-08,0,6,0.0
2020-10-09,0,5,0.0
2020-10-10,0,5,0.0
2020-10-11,0,4,0.0
2020-10-12,0,5,0.0
2020-10-13,0,38,0.0
2020-10-14,0,9,0.0
2020-10-15,0,5,0.0
2020-10-16,0,4,0.0
2020-10-17,0,3,0.0
2020-10-18,0,3,0.0
2020-10-19,0,5,0.0
2020-10-20,0,40,0.0
2020-10-21,0,8,0.0
2020-10-22,0,4,0.0
2020-10-23,0,3,0.0
2020-10-24,0,3,0.0
2020-10-25,0,4,0.0
2020-10-26,0,5,0.0
2020-10-27,0,35,0.0
2020-10-28,0,7,0.0
2020-10-29,0,4,0.0
2020-10-30,0,3,0.0
2020-10-31,0,3,0.0
2020-11-01,0,3,0.0
2020-11-02,0,14,0.0
2020-11-03,0,42,0.0
2020-11-04,0,4,0.0
2020-11-05,0,3,0.0
2020-11-06,0,3,0.0
2020-11-07,0,3,0.0
2020-11-08,0,3,0.0
2020-11-09,0,4,0.0
2020-11-10,0,36,0.0
2020-11-11,0,6,0.0
2020-11-12,0,4,0.0
2020-11-13,0,3,0.0
2020-11-14,0,3,0.0
2020-11-15,0,3,0.0
2020-11-16,0,4,0.0
2020-11-17,0,39,0.0
2020-11-18,0,8,0.0
2020-11-19,0,4,0.0
2020-11-20,0,3,0.0
2020-11-21,0,3,0.0
2020-11-22,0,3,0.0
2020-11-23,0,7,0.0
