Season,Week,Name,Judge_Score,Judge_Rank,Est_Fan_Rank_Mean,Est_Fan_Rank_Std,Prob_Fan_Favorite,Effective_Sample_Size,Actual_Result
1,2,John O'Hurley,26.0,1,3.51,1.69,16.2,167.0,Safe
1,2,Kelly Monaco,17.0,5,2.89,1.34,20.4,167.0,Safe
1,2,Evander Holyfield,14.0,6,2.23,1.04,30.5,167.0,Safe
1,2,Rachel Hunter,24.0,2,3.51,1.68,16.2,167.0,Safe
1,2,Joey McIntyre,21.0,3,3.39,1.62,16.8,167.0,Safe
1,2,Trista Sutter,19.0,4,5.47,0.69,0.0,167.0,Eliminated
1,3,John O'Hurley,24.0,2,4.51,0.53,0.0,4.6,Safe
1,3,Kelly Monaco,21.0,4,1.45,0.61,61.2,4.6,Safe
1,3,Evander Holyfield,13.0,5,1.79,0.6,30.6,4.6,Eliminated
1,3,Rachel Hunter,26.0,1,4.33,0.73,0.3,4.6,Safe
1,3,Joey McIntyre,22.0,3,2.92,0.71,7.9,4.6,Safe
1,4,John O'Hurley,21.0,3,2.98,0.15,0.2,1.7,Safe
1,4,Kelly Monaco,26.0,1,1.3,0.5,71.9,1.7,Safe
1,4,Rachel Hunter,25.0,2,4.0,0.04,0.0,1.7,Eliminated
1,4,Joey McIntyre,20.0,4,1.72,0.45,27.9,1.7,Safe
2,1,Tatum O'Neal,23.0,2,5.4,2.89,10.3,32459.0,Safe
2,1,Tia Carrere,20.0,6,5.28,2.82,10.6,32459.0,Safe
2,1,George Hamilton,18.0,8,4.77,2.6,12.3,32459.0,Safe
2,1,Lisa Rinna,19.0,7,5.13,2.75,10.9,32459.0,Safe
2,1,Stacy Keibler,22.0,4,5.4,2.88,10.4,32459.0,Safe
2,1,Jerry Rice,21.0,5,5.37,2.86,10.4,32459.0,Safe
2,1,Giselle Fernandez,23.0,3,5.45,2.89,10.3,32459.0,Safe
2,1,Master P,12.0,10,4.25,2.29,14.1,32459.0,Safe
2,1,Drew Lachey,24.0,1,5.4,2.9,10.7,32459.0,Safe
2,1,Kenny Mayne,13.0,9,8.55,1.34,0.0,32459.0,Eliminated
2,2,Tatum O'Neal,17.0,8,7.09,0.74,0.0,8.4,Eliminated
2,2,Tia Carrere,22.0,6,4.02,0.64,0.2,8.4,Safe
2,2,George Hamilton,22.0,5,2.14,0.57,7.8,8.4,Safe
2,2,Lisa Rinna,20.0,7,2.92,0.65,1.7,8.4,Safe
2,2,Stacy Keibler,29.0,1,5.92,0.73,0.0,8.4,Safe
2,2,Jerry Rice,23.0,4,5.1,0.7,0.0,8.4,Safe
2,2,Giselle Fernandez,24.0,3,8.78,0.53,0.0,8.4,Safe
2,2,Master P,16.0,9,1.12,0.4,90.3,8.4,Safe
2,2,Drew Lachey,27.0,2,7.91,0.62,0.0,8.4,Safe
2,3,Tia Carrere,26.0,3,4.0,0.78,0.2,29.4,Safe
2,3,George Hamilton,22.0,5,2.02,0.73,22.6,29.4,Safe
2,3,Lisa Rinna,25.0,4,2.99,0.78,3.1,29.4,Safe
2,3,Stacy Keibler,27.0,1,6.01,0.78,0.0,29.4,Safe
2,3,Jerry Rice,19.0,7,4.99,0.77,0.0,29.4,Safe
2,3,Giselle Fernandez,22.0,6,7.72,0.51,0.0,29.4,Eliminated
2,3,Master P,14.0,8,1.29,0.53,74.2,29.4,Safe
2,3,Drew Lachey,27.0,2,6.98,0.72,0.0,29.4,Safe
2,4,Tia Carrere,25.0,4,4.49,0.81,0.5,7.6,Safe
2,4,George Hamilton,21.0,6,1.25,0.56,81.1,7.6,Safe
2,4,Lisa Rinna,26.0,3,2.82,1.17,14.2,7.6,Safe
2,4,Stacy Keibler,26.0,2,6.23,0.48,0.0,7.6,Safe
2,4,Jerry Rice,24.0,5,4.13,0.62,0.0,7.6,Safe
2,4,Master P,8.0,7,2.33,0.59,4.1,7.6,Eliminated
2,4,Drew Lachey,28.0,1,6.74,0.44,0.0,7.6,Safe
2,5,Tia Carrere,22.0,6,4.07,0.72,0.0,10.5,Eliminated
2,5,George Hamilton,24.0,4,1.29,0.52,74.0,10.5,Safe
2,5,Lisa Rinna,25.0,3,2.01,0.72,22.8,10.5,Safe
2,5,Stacy Keibler,30.0,1,4.99,0.72,0.0,10.5,Safe
2,5,Jerry Rice,23.0,5,2.93,0.72,3.2,10.5,Safe
2,5,Drew Lachey,27.0,2,5.71,0.52,0.0,10.5,Safe
2,6,George Hamilton,23.0,4,2.89,0.44,0.0,3.9,Eliminated
2,6,Lisa Rinna,27.0,3,1.55,0.77,61.4,3.9,Safe
2,6,Stacy Keibler,30.0,1,4.31,0.61,0.3,3.9,Safe
2,6,Jerry Rice,23.0,5,1.63,0.5,38.3,3.9,Safe
2,6,Drew Lachey,30.0,2,4.62,0.5,0.0,3.9,Safe
2,7,Lisa Rinna,26.5,3,2.39,0.53,0.0,2.2,Eliminated
2,7,Stacy Keibler,27.5,1,3.24,1.1,9.0,2.2,Safe
2,7,Jerry Rice,20.5,4,1.1,0.3,90.5,2.2,Safe
2,7,Drew Lachey,27.5,2,3.27,0.55,0.5,2.2,Safe
